FAA Site     Short Name  Airport Name                               City                               ST  Latitude        Longitude        Tower
03111.5*A    5FD1        RON WOOD                                   CLARKSVILLE                        FL  30-25-55.7000N  085-17-19.7180W  N
03111.4*A    FL15        STEEP HEAD FARM                            CLARKSVILLE                        FL  30-25-12.7010N  085-18-01.7180W  N
03112.*A     CLW         CLEARWATER AIR PARK                        CLEARWATER                         FL  27-58-37.9700N  082-45-32.6050W  N
03112.01*H   06FL        MORTON PLANT HOSPITAL                      CLEARWATER                         FL  27-57-12.7600N  082-48-22.4800W  N
03115.*A     21FL        KINGS FIELD                                CLERMONT                           FL  28-30-31.0000N  081-48-01.0000W  N
03118.*A     2IS         AIRGLADES                                  CLEWISTON                          FL  26-44-06.6000N  081-03-03.8000W  N
03117.23*A   0FL0        HARPER'S FLY-IN RANCH                      CLEWISTON                          FL  26-43-50.0000N  081-09-50.0000W  N
03117.34*H   45FA        HENDRY MEDICAL                             CLEWISTON                          FL  26-45-06.0000N  080-56-28.1000W  N
03117.24*A   0FL9        MC DANIEL RANCH INC                        CLEWISTON                          FL  26-23-38.0000N  081-01-23.0000W  N
03117.21*A   2FA4        SOUTHERN RANCH                             CLEWISTON                          FL  26-22-46.2830N  080-56-44.2360W  N
03120.12*H   3FL4        KNOBEL                                     COCOA                              FL  28-14-54.4300N  080-39-43.0900W  N
03120.13*C   FA13        TREASURE LAGOON                            COCOA                              FL  28-26-51.0000N  080-43-20.5000W  N
03121.12*A   XMR         CAPE CANAVERAL AFS SKID STRIP              COCOA BEACH                        FL  28-28-03.3100N  080-33-59.8150W  Y
03121.13*H   1FL8        CAPE CANAVERAL HOSPITAL                    COCOA BEACH                        FL  28-21-40.0000N  080-37-20.0000W  N
03121.*A     COF         PATRICK AFB                                COCOA BEACH                        FL  28-14-06.0204N  080-36-35.9261W  Y
03121.8*A    2FA6        FREEFLIGHT INTL                            COLEMAN                            FL  28-48-39.9560N  082-03-55.3080W  N
03124.1*A    FD44        EAGLES NEST AERODROME                      CRESCENT CITY                      FL  29-25-37.0000N  081-36-15.0000W  N
03124.22*H   FD56        INHOME MEDICAL LANDING                     CRESCENT CITY                      FL  29-27-15.9030N  081-31-09.2650W  N
03124.23*A   16FD        SKINNERS WHOLESALE NURSERY                 CRESCENT CITY                      FL  29-24-17.9070N  081-29-45.2600W  N
03124.2*A    2FA5        THUNDERBIRD AIR PARK                       CRESCENT CITY                      FL  29-28-19.8990N  081-34-19.2730W  N
03124.3*A    28FL        JIM FINLAY FARM                            CRESENT CITY                       FL  29-26-30.9010N  081-34-59.2730W  N
03128.1*A    CEW         BOB SIKES                                  CRESTVIEW                          FL  30-46-43.8000N  086-31-19.6000W  N
03535.03*A   EGI         DUKE FIELD-(EGLIN AF AUX NR 3)             CRESTVIEW                          FL  30-38-54.9130N  086-31-19.0537W  Y
03128.2*A    FD03        FIVE OAKS ESTATE                           CRESTVIEW                          FL  30-48-00.6720N  086-26-07.8180W  N
03128.*H     11FD        NORTH OKALOOSA MEDICAL CENTER              CRESTVIEW                          FL  30-44-05.3600N  086-33-44.2700W  N
03128.01*A   FL81        TRIPLE B AIRPARK                           CRESTVIEW                          FL  30-46-54.6740N  086-28-01.8210W  N
03132.*A     CTY         CROSS CITY                                 CROSS CITY                         FL  29-38-07.9000N  083-06-17.1000W  N
03134.*A     35FA        RIMES LAKECREST                            CROSS CREEK                        FL  29-28-04.5900N  082-09-31.5400W  N
03135.12*H   6FD1        CRYSTAL RIVER POWER PLANT                  CRYSTAL RIVER                      FL  28-57-34.0000N  082-41-35.0000W  N
03135.*A     CGC         CRYSTAL RIVER-CAPTAIN TOM DAVIS FLD        CRYSTAL RIVER                      FL  28-52-03.4000N  082-34-26.8000W  N
03135.11*A   66FD        J R'S                                      CRYSTAL RIVER                      FL  29-00-13.0000N  082-33-19.0000W  N
03135.2*A    1FA1        POST OAK RANCH                             CRYSTAL RIVER                      FL  28-51-20.9320N  082-33-09.3590W  N
03139.*A     2FL3        FOLSOM                                     CYPRESS                            FL  30-40-21.3007N  085-05-00.4262W  N
03140.*A     FD53        CUB HAVEN                                  DADE CITY                          FL  28-27-12.0000N  082-12-54.0000W  N
03140.02*A   5FL0        DUSTY AIRPATCH                             DADE CITY                          FL  28-24-47.0000N  082-13-24.3000W  N
03140.03*H   89FD        TRANQUILITY PAD                            DADE CITY                          FL  28-24-04.9000N  082-14-33.4000W  N
03140.01*A   3FL1        TWO J'S FLYING RANCH                       DADE CITY                          FL  28-27-09.0000N  082-12-28.0000W  N
03145.*H     FL69        GRANDE OAKS GOLF CLUB                      DAVIE                              FL  26-04-47.3200N  080-15-17.1700W  N
03146.7*A    9FD7        FORT ATKINSON PLANTATION AIRPARK           DAY                                FL  30-11-46.4100N  083-18-32.5600W  N
03147.*A     DAB         DAYTONA BEACH INTL                         DAYTONA BEACH                      FL  29-10-47.7000N  081-03-29.0000W  Y
03147.21*H   4FL6        FLORIDA HOSPITAL                           DAYTONA BEACH                      FL  29-14-37.4300N  081-06-25.7300W  N
03147.4*H    29FL        HALIFAX HOSPITAL MEDICAL CENTER            DAYTONA BEACH                      FL  29-12-04.9330N  081-03-14.2020W  N
03147.3*H    FL44        SMOKEY'S                                   DAYTONA BEACH                      FL  29-13-50.9310N  081-01-41.1980W  N
03147.2*A    7FL6        SPRUCE CREEK                               DAYTONA BEACH                      FL  29-04-48.6750N  081-02-47.8650W  N
03153.13*H   FL71        PENNINGTON                                 DE FUNIAK SPRINGS                  FL  30-22-27.7100N  086-10-45.7900W  N
03156.13*H   2FD9        WEST VOLUSIA MEMORIAL HOSPITAL HELISTOP    DE LAND                            FL  29-02-37.9430N  081-19-04.2260W  N
03156.35*A   FD90        LAFAYETTE LANDINGS                         DE LEON SPRINGS                    FL  29-10-06.9330N  081-15-53.2220W  N
03153.14*A   0FD5        BREEZY KNOLL                               DEFUNIAK SPRINGS                   FL  30-49-12.6600N  086-20-39.8100W  N
03153.2*A    5FL9        CEDAR LANE                                 DEFUNIAK SPRINGS                   FL  30-44-10.6810N  086-12-46.7960W  N
03153.11*A   02FL        CUCHENS                                    DEFUNIAK SPRINGS                   FL  30-38-34.0000N  086-07-26.0000W  N
03153.*A     54J         DEFUNIAK SPRINGS                           DEFUNIAK SPRINGS                   FL  30-43-52.0000N  086-09-13.6000W  N
03153.1*A    0FD9        JOY FARMS                                  DEFUNIAK SPRINGS                   FL  30-39-07.6880N  086-06-33.7840W  N
03153.12*A   69FD        UNICORN PLACE                              DEFUNIAK SPRINGS                   FL  30-50-41.0000N  086-16-53.0000W  N
03156.2*A    1J6         BOB LEE FLIGHT STRIP                       DELAND                             FL  29-06-14.8000N  081-18-51.1000W  N
03156.1*A    FL62        BRADSHAW TREE FARM                         DELAND                             FL  28-56-54.9530N  081-24-47.2400W  N
03156.14*A   FD86        DEEP WOODS RANCH                           DELAND                             FL  29-01-48.9430N  081-26-49.2430W  N
03156.*A     DED         DELAND MUNI-SIDNEY H TAYLOR FIELD          DELAND                             FL  29-04-01.3000N  081-17-01.5000W  N
03156.15*A   85FA        NORTH EXUMA                                DELAND                             FL  29-05-41.6400N  081-16-39.3600W  N
03156.51*A   FD08        ANTIQUERS AERODROME                        DELRAY BEACH                       FL  26-27-55.2650N  080-08-59.1600W  N
03156.512*H  48FD        DELRAY COMMUNITY HOSP EMERGENCY HELISTOP   DELRAY BEACH                       FL  26-26-09.3400N  080-07-37.0100W  N
03156.513*H  FL64        HARDRIVES DELTA NR 3 HELISTOP              DELRAY BEACH                       FL  26-25-58.0800N  080-05-36.7800W  N
03157.04*H   22FD        DESTIN EMERGENCY CARE CENTER               DESTIN                             FL  30-23-38.0000N  086-28-17.0000W  N
03157.*A     DTS         DESTIN EXECUTIVE                           DESTIN                             FL  30-24-00.1975N  086-28-17.3025W  N
03157.03*H   3FL7        MACK BAYOR AIRHEART                        DESTIN                             FL  30-22-38.0000N  086-18-20.0000W  N
03164.*A     58FD        SOUTHERLY                                  DUNDEE                             FL  28-00-51.0000N  081-32-26.0000W  N
03165.01*H   FA04        MEASE HOSPITAL                             DUNEDIN                            FL  28-00-51.9600N  082-46-55.2000W  N
03169.*A     X35         MARION COUNTY                              DUNNELLON                          FL  29-03-42.3610N  082-22-35.8279W  N
03169.01*A   10FD        SEVEN FEATHERS                             DUNNELLON                          FL  29-00-23.9000N  082-24-16.4500W  N
03170.5*H    9FD8        WESH-TV CHANNEL 2                          EATONVILLE                         FL  28-36-44.9980N  081-23-08.2500W  N
03171.*A     FD35        REDHEAD                                    EBRO                               FL  30-29-25.7020N  085-50-21.7600W  N
03176.*A     5FL4        BYRD AIR FIELD                             ELKTON                             FL  29-48-02.8850N  081-30-03.2860W  N
03178.*A     6FD7        THOMSON AIRFIELD                           ELLENTON                           FL  27-32-39.1340N  082-31-48.3460W  N
03178.5*A    X36         BUCHAN                                     ENGLEWOOD                          FL  26-59-24.2900N  082-22-26.4640W  N
03178.7*A    1FD4        CORKSCREW TRACE AIRPARK                    ESTERO                             FL  26-26-43.2840N  081-36-26.2910W  N
03180.01*A   X55         MID FLORIDA AIR SERVICE                    EUSTIS                             FL  28-50-36.0000N  081-37-48.3000W  N
03180.04*A   6FD6        ROSE RANCH                                 EUSTIS                             FL  28-54-17.9590N  081-25-59.2440W  N
03182.*A     X01         EVERGLADES AIRPARK                         EVERGLADES                         FL  25-50-55.9000N  081-23-25.0000W  N
03182.1*A    9FL7        OASIS RANGER STATION-U S GOVERNMENT        EVERGLADES CITY                    FL  25-51-26.3550N  081-02-04.2530W  N
03183.3*A    FA09        RELUCTANT GREMLIN                          FAIRFIELD                          FL  29-20-26.9000N  082-15-49.3500W  N
03184.5*A    4FL3        FELLSMERE                                  FELLSMERE                          FL  27-44-30.1050N  080-39-58.2030W  N
03186.01*H   FD91        BAPTIST MEDICAL CENTER OF NASSAU           FERNANDINA BEACH                   FL  30-39-13.3000N  081-26-53.4000W  N
03186.*A     FHB         FERNANDINA BEACH MUNI                      FERNANDINA BEACH                   FL  30-36-42.6000N  081-27-40.3000W  N
03186.2*A    FL84        FLYING-A-RANCH                             FERNANDINA BEACH                   FL  30-36-03.8530N  081-34-13.3430W  N
03188.5*A    05FA        MELANIE'S                                  FLORALA                            FL  30-55-08.0000N  086-13-06.0000W  N
03191.8*A    FL75        INDIAN HAMMOCK                             FORT DRUM                          FL  27-32-31.1330N  080-49-59.2180W  N
03192.11*H   6FD8        BROWARD GENERAL MEDICAL CENTER             FORT LAUDERDALE                    FL  26-06-14.3120N  080-08-29.1630W  N
03192.01*H   FA10        BSO PUBLIC SAFETY HELISTOP                 FORT LAUDERDALE                    FL  26-07-28.3100N  080-10-45.1670W  N
03192.13*H   30FD        CITY OF FORT LAUDERDALE                    FORT LAUDERDALE                    FL  26-07-26.3100N  080-08-39.1620W  N
03193.*H     DT1         DOWNTOWN FORT LAUDERDALE                   FORT LAUDERDALE                    FL  26-07-13.6720N  080-08-31.3975W  N
03194.*A     FXE         FORT LAUDERDALE EXECUTIVE                  FORT LAUDERDALE                    FL  26-11-50.2057N  080-10-14.5426W  Y
03192.*A     FLL         FORT LAUDERDALE/HOLLYWOOD INTL             FORT LAUDERDALE                    FL  26-04-18.0000N  080-08-58.9000W  Y
03194.2*H    FD73        LOS OLAS CENTER                            FORT LAUDERDALE                    FL  26-07-07.3100N  080-08-19.1600W  N
03192.1*H    2FD4        PORT EVERGLADES                            FORT LAUDERDALE                    FL  26-05-46.3130N  080-06-49.1590W  N
03193.12*H   6FD9        THUNDERBIRD                                FORT LAUDERDALE                    FL  26-08-13.3080N  080-11-27.1680W  N
03195.11*A   FD10        JUBILEE ACRES                              FORT MEADE                         FL  27-47-22.9200N  081-39-11.4000W  N
03195.51*A   1FA9        VILLA CHAR MAR                             FORT MEADE                         FL  27-47-06.0000N  081-39-04.0000W  N
03195.5*H    FD62        WATERS                                     FORT MEADE                         FL  27-46-48.3000N  081-38-35.8000W  N
03199.*A     FL59        BUCKINGHAM FIELD                           FORT MYERS                         FL  26-38-36.2580N  081-42-37.2950W  N
03197.1*C    29FA        CALOOSA DOWNTOWN                           FORT MYERS                         FL  26-38-06.0000N  081-52-30.0000W  N
03196.33*H   67FD        GULF COAST HOSPITAL                        FORT MYERS                         FL  26-32-39.0000N  081-51-00.0000W  N
03196.22*H   3FA4        GULF COAST MEDICAL CENTER                  FORT MYERS                         FL  26-32-38.6000N  081-50-55.7000W  N
03196.3*H    FD67        LEE MEMORIAL HOSPITAL EMERGENCY            FORT MYERS                         FL  26-37-43.4800N  081-52-28.9900W  N
03198.*A     FMY         PAGE FIELD                                 FORT MYERS                         FL  26-35-11.8000N  081-51-47.7000W  Y
03197.*A     1FA3        PINE ISLAND                                FORT MYERS                         FL  26-39-22.2610N  082-07-16.3310W  N
03196.4*H    7FD1        PINE RIDGE HELISTOP                        FORT MYERS                         FL  26-29-25.2830N  081-56-00.3190W  N
03198.4*A    94FL        PINE SHADOWS AIRPARK                       FORT MYERS                         FL  26-43-58.2470N  081-53-50.3100W  N
03196.2*A    FL90        SALTY APPROACH                             FORT MYERS                         FL  26-36-12.2710N  082-13-12.3410W  N
03196.32*H   41FL        SOUTHERN MACHINE & STEEL YARD              FORT MYERS                         FL  26-38-03.2610N  081-50-02.3060W  N
03198.2*A    RSW         SOUTHWEST FLORIDA INTL                     FORT MYERS                         FL  26-32-10.2000N  081-45-18.6000W  Y
03196.21*A   47FD        STRAYHORN RANCH                            FORT MYERS                         FL  26-39-46.2560N  081-46-14.3000W  N
03198.1*A    4FA3        TRANQUILITY BAY STRIP                      FORT MYERS                         FL  26-38-36.2640N  082-07-04.3310W  N
03196.34*H   3FL6        WINK TV                                    FORT MYERS                         FL  26-39-03.0000N  081-51-20.0000W  N
03198.3*A    FL86        WOODSTOCK                                  FORT MYERS                         FL  26-34-57.2720N  082-05-54.3310W  N
03200.02*A   7FL3        ADAMS RANCH                                FORT PIERCE                        FL  27-26-31.1420N  080-35-03.2010W  N
03200.13*A   FD88        AERO ACRES                                 FORT PIERCE                        FL  27-20-31.1530N  080-31-19.1960W  N
